MolWt,critical_temp
130.187,678.5
132.159,608.5
160.169,842.0
202.24999999999997,845.0
101.19300000000001,592.3
102.17699999999999,610.4
104.149,731.0
100.161,540.5
103.16900000000001,709.8
104.15299999999999,739.0
105.137,737.0
102.17699999999999,530.63
146.142,655.0
114.232,568.837
112.216,566.72
108.144,831.0
116.204,632.69
114.18799999999999,616.77
118.17599999999999,633.9
120.148,672.0
214.34899999999996,711.1
128.259,594.557
148.67700000000002,643.0
129.247,641.0
130.23100000000002,651.5
146.299,667.0
129.24699999999999,607.5
160.169,682.0
158.285,668.59
156.313,638.85
352.6030000000001,817.0
196.37799999999996,691.0
158.241,712.0
98.145,631.0
170.296,687.8
150.174,782.0
158.285,687.26
156.269,674.2
186.295,728.0
270.45699999999994,760.0
170.33999999999997,658.23
168.32399999999998,657.6
172.31199999999998,703.04
174.284,770.0
186.33899999999997,719.4
202.40699999999998,734.0
186.33899999999994,663.1
298.51099999999997,785.0
296.49499999999995,777.0
294.4789999999999,778.0
200.36599999999996,732.0
214.39299999999994,743.0
340.59200000000004,837.0
252.4859999999999,748.0
270.50099999999986,790.0
282.5559999999999,769.0
42.080999999999996,365.0
46.069,400.31
200.02799999999996,388.45
72.107,478.58
150.021,359.0
390.56400000000036,840.0
136.15,763.0
152.14899999999997,709.0
182.222,830.0
132.206,720.1
129.16199999999998,803.1
178.23399999999995,882.0
194.18599999999998,779.0
84.11800000000001,624.0
85.15,548.62
101.193,535.62
121.18299999999995,687.64
136.14999999999998,686.0
136.194,732.0
138.16599999999997,749.0
260.465,790.0
122.16699999999996,716.0
114.18799999999999,602.0
174.19599999999997,665.9
186.295,664.1
58.08,504.35
59.068000000000005,716.0
132.159,563.0
144.21399999999997,615.2
72.107,537.2
116.11599999999999,766.0
115.22,598.0
116.15999999999998,575.55
88.106,587.17
130.18699999999998,586.11
130.231,629.8
188.22299999999998,844.0
146.14200000000002,841.0
256.4299999999999,740.0
144.214,693.7
116.20800000000001,685.0
242.40299999999993,730.0
126.243,593.7
125.215,674.4
128.215,639.25
142.286,617.633
142.242,658.0
44.009,304.1467
45.085,437.45
259.822,487.6
132.203,511.0
165.834,620.2
87.122,660.2
202.25599999999997,956.0
128.21499999999997,615.0
194.18599999999995,772.0
250.29399999999993,784.0
306.4020000000001,811.0
168.195,824.0
184.263,897.0
210.40499999999994,705.0
112.21600000000001,569.8
142.28599999999997,623.0
36.095203555999994,372.29
134.22199999999998,652.98
178.231,725.0
88.14999999999999,575.4
184.491,475.0
73.13900000000001,514.3
100.11699999999999,555.0
202.24999999999997,697.0
128.171,597.38
61.083999999999996,672.2
88.106,523.31
98.145,605.0
112.98700000000001,615.0
68.119,506.16
116.15999999999998,661.1
100.205,540.16
101.193,555.8
144.21399999999997,618.0
130.231,584.1
200.32199999999997,743.0
144.258,675.0
222.28099999999995,727.0
148.539,592.0
148.53900000000002,609.6
146.23,708.2
170.29599999999996,680.9
256.4739999999999,780.0
98.18900000000001,542.8
132.084,560.3
144.214,674.4
130.23099999999997,623.5
130.91899999999998,411.98
208.05699999999996,485.1
198.34999999999997,716.0
184.32299999999998,701.0
96.94400000000002,540.0
118.17599999999997,605.0
116.22900000000001,670.0
112.216,567.5
102.202,684.0
88.14999999999999,497.07
138.254,690.0
98.18900000000001,569.45
128.25899999999996,607.55
