critical_temp,predicted_temp
532.7,540.7208
540.0,544.20605
538.6,527.772
839.0,794.28156
483.71,487.37912
534.47,518.97577
642.1,649.7406
707.0,692.66486
810.0,756.8945
726.9,708.2463
532.8,517.22925
549.0,576.7603
665.0,674.80096
770.0,771.462
545.42,487.39755
731.1,684.3596
424.6,424.22964
657.0,647.5677
797.0,795.3803
432.79,450.28195
748.0,768.5951
611.43,628.3965
663.1,628.251
568.8,557.0152
687.0,711.1039
468.7,334.1826
682.0,675.7264
718.0,719.5828
612.0,642.1539
489.11,507.67737
377.2,401.8851
510.07,489.88397
475.14,456.3836
428.95,420.34158
587.2,584.80414
676.0,660.71655
134.35,129.88655
619.18,608.3894
584.1,592.2642
760.0,795.7732
543.86,541.9076
719.0,689.1187
531.8,530.4909
630.7,638.7506
597.38,601.2501
842.0,886.98145
621.87,627.8675
521.0,531.77966
721.74,701.0319
512.0,473.09427
858.0,857.0034
808.0,815.5676
507.62,520.60986
610.4,609.8071
464.5,479.17996
642.0,652.67236
674.0,678.48553
723.0,720.61414
660.0,685.46893
532.757,529.382
569.86,576.3055
679.0,674.6752
777.0,797.31274
634.4,645.6786
605.3,606.7917
664.1,675.5992
716.0,715.8278
261.08,311.41135
606.6,618.80225
556.1,578.7055
641.39,654.7554
539.67,543.35187
776.0,761.5124
723.0,722.2535
702.0,694.48865
587.17,665.3678
670.0,667.4094
709.0,714.6465
787.0,790.91425
469.75,491.01855
725.0,731.8225
530.971,544.0749
615.0,596.9408
812.0,803.6696
585.0,571.9712
646.11,632.5149
649.0,638.2331
560.42,572.70123
850.0,835.775
716.0,688.7748
772.2,763.59705
597.0,546.24133
550.0,555.9423
406.814,404.21475
561.7,562.595
592.1,591.8955
621.6,612.8052
461.8,447.32516
657.871,661.1732
556.84,535.6931
655.0,665.8175
559.63,568.3513
535.62,538.28955
581.5,612.95233
615.2,630.7216
722.39,711.4513
375.01,368.24835
605.4,618.9943
593.7,605.8527
535.963,555.9969
477.3,459.7366
568.61,517.5001
602.6,613.2963
423.63,470.15884
657.6,678.7533
398.25,264.87088
790.0,828.36127
496.95,517.406
650.1,637.2258
629.8,639.6817
502.0,485.05432
