critical_temp,predicted_temp
723.0,707.47034
723.0,754.77655
708.0,713.8725
511.6,537.48804
702.0,696.4451
398.25,267.1209
507.1,481.08722
617.1,597.9763
646.0,661.1678
685.7,659.5224
540.0,583.91815
309.57,317.17395
692.43,694.8612
561.2,562.8241
591.7,607.711
566.0,616.7852
190.551,216.13716
375.26,411.47052
479.1,493.48987
540.14,514.6237
810.0,799.44495
710.0,717.95074
687.26,689.3371
643.0,622.82263
667.0,674.19727
562.032,514.8701
559.63,577.4453
760.0,765.25824
815.0,794.3001
449.2,431.43228
410.14,422.68088
716.0,723.6633
634.7,641.1771
625.1,635.2636
544.2,531.0346
471.8,462.55978
572.04,603.02466
645.1,653.39545
679.0,689.22565
475.0,498.83246
574.0,594.0567
481.54,530.7584
534.47,532.54944
485.1,465.29492
760.0,783.9513
882.0,875.8444
594.099,599.0939
546.49,566.6871
602.0,592.07513
627.0,678.2541
486.98,471.87827
767.0,777.9744
604.4,624.0578
496.95,543.89764
662.0,694.07794
676.0,692.55316
708.0,748.8352
410.3,435.03885
626.0,654.0875
594.557,607.1356
646.0,676.02936
705.0,698.5782
532.8,549.69916
732.0,734.8457
662.0,663.66406
463.0,480.46304
623.8,624.75275
386.449,418.9448
312.09,314.6972
456.89,472.3293
476.55,506.07275
740.8,715.9451
725.0,730.1189
621.87,669.88873
437.84,509.5348
718.0,747.2958
547.76,610.20233
671.8,686.85486
401.9,422.49655
469.87,447.52875
593.5,590.5577
566.0,541.69904
511.0,574.8217
509.0,545.35834
732.0,717.425
530.37,556.25653
763.0,808.3809
477.3,501.43353
508.27,533.9563
770.0,797.69464
584.4,627.45825
553.5,574.0196
810.0,727.65186
438.4,450.7229
500.21,540.7844
687.0,692.8883
797.0,785.4568
785.0,314.47775
687.8,703.85156
556.9,543.0938
377.2,427.4239
496.4,475.52527
520.4,550.09534
428.0,451.0764
540.6,568.5981
369.262,405.81528
425.0,429.7685
582.9,597.7098
487.0,522.0947
597.38,612.53485
772.0,754.5363
461.6,483.3581
453.5,474.69397
776.0,766.56995
568.837,587.67267
647.2,665.58167
512.618,475.28445
566.3,595.99603
709.8,701.2591
627.1,641.04987
538.2,574.28577
482.5,494.8879
670.0,677.2324
719.0,674.55707
519.0,537.1926
658.0,661.77985
655.45,616.7727
653.0,606.2602
693.0,705.6339
725.0,742.2279
640.4,663.5522
836.0,821.97626
601.1,646.11523
550.0,561.6128
416.89,414.7397
623.8,647.4194
620.2,615.7147
304.1467,330.37024
542.8,547.27234
154.62,241.45326
485.94,458.08005
511.749,444.0342
538.6,558.2135
599.0,618.5489
694.0,724.02155
719.4,720.6042
456.49,489.70987
651.0,672.33826
209.425,199.4906
616.06,609.91504
404.9,399.57486
840.0,803.6477
609.6,626.98645
817.0,805.3493
786.0,757.1752
612.0,652.08356
687.0,780.1858
819.0,812.97424
510.2,537.9134
858.0,827.9402
433.02,417.58643
530.9,506.17093
974.0,943.55426
570.92,611.02527
708.0,693.83575
651.0,641.14685
607.29,593.5831
919.0,882.10126
530.63,570.55255
467.8,462.36517
595.8,621.19196
694.0,771.2731
391.7,393.32355
674.4,711.178
544.1,537.9266
362.32,394.489
635.0,611.1764
692.3,703.5011
513.98,528.01166
700.0,709.56824
553.6,552.81586
779.0,762.6045
555.8,583.1076
395.425,429.89648
675.0,665.0917
652.0,640.20605
594.0,579.15356
502.0,553.7209
533.6,532.9235
785.0,825.9268
369.873,433.49484
637.3,620.92645
377.1,324.71588
215.2,294.22513
367.86,359.44168
541.0,566.58026
566.3,561.1166
660.1,665.1001
664.1,638.78546
827.0,823.59174
694.25,694.3161
650.0,652.22424
361.95,393.26938
644.79,597.48914
626.0,643.0638
798.0,807.88544
839.0,814.7403
490.7,537.77673
561.7,572.99744
541.8,547.7437
882.0,919.87305
646.0,676.6035
599.6,630.84985
701.0,727.87085
684.9,652.84247
604.0,634.2316
309.4,320.2465
551.0,593.0489
698.0,723.3157
542.0,595.5613
677.0,689.68823
575.3,602.1774
647.05,621.51105
708.2,761.59735
837.0,874.09674
944.0,984.2878
586.11,623.71124
400.6,422.8248
328.04,343.72156
640.27,667.3072
699.0,706.9694
421.75,439.0789
633.9,650.01587
605.4,616.6325
451.65,465.6451
658.23,661.6866
653.4,660.9932
629.8,635.87384
728.0,772.21686
718.0,712.8315
379.5,373.09036
134.35,159.75099
543.86,560.5473
553.4,583.8534
783.1,812.9663
588.0,587.54895
44.4,54.083073
545.42,560.90063
784.0,777.6472
624.0,573.2196
372.35,383.15817
464.78,504.5827
836.0,833.2826
602.2,621.08765
556.349,600.7279
523.95,497.83835
575.0,624.66266
629.0,659.9241
757.7,788.67096
695.0,713.38995
786.0,760.14056
776.0,756.2661
632.0,611.5473
632.0,621.8064
498.2,515.16034
518.15,512.61676
687.3,705.7746
536.9,538.26776
478.1,439.92557
477.6,474.02335
463.0,434.74142
646.5,652.22766
443.9,434.1576
629.8,642.23895
520.4,525.1527
537.471,548.44727
549.0,571.7188
591.2,586.02716
667.95,666.06573
589.0,580.1254
560.4,571.9685
695.0,671.17395
710.0,727.63025
345.868,369.0673
398.07,396.97037
669.1,663.3512
504.0,527.25793
353.0,385.6182
618.3,611.69745
643.7,664.7812
528.7,535.2695
675.1,669.6585
973.0,1043.7882
707.0,732.4574
432.79,449.84528
399.6,437.89813
549.73,594.57635
623.0,618.20624
467.73,503.47162
669.0,697.00275
656.0,664.86444
491.03,506.14047
789.9,792.186
535.773,555.9222
411.98,409.06613
664.1,700.7593
504.58,544.99695
592.1,586.6375
755.0,752.10376
812.0,819.66547
306.9,332.4222
517.75,544.3576
519.8,544.99207
653.0,647.67755
646.11,620.1431
719.0,727.04486
606.0,640.59
396.467,372.27084
726.0,732.5787
572.0,580.52637
454.9,480.32568
579.41,607.0305
725.0,708.20776
583.5,625.1565
667.25,661.14026
672.2,663.70026
524.0,524.25446
585.4,621.7962
646.0,678.1862
687.64,669.7364
647.23,686.7727
540.0,537.3073
612.0,716.96265
608.0,653.916
598.5,586.17456
647.317,536.44727
568.9,590.3718
864.0,865.22046
680.9,698.7596
716.4,693.9024
742.0,783.2122
968.0,1073.9434
586.78,614.62225
584.0,579.72473
417.99,426.2322
627.7,648.4595
904.0,864.47296
516.0,514.20886
926.0,961.17596
718.0,743.4502
500.0,551.00275
548.5,552.08514
590.5,613.8576
546.1,559.37744
593.8,628.74976
376.8,386.42133
456.6,388.19864
845.0,872.90454
260.94,267.43723
792.0,834.70874
755.8,758.8945
305.352,367.206
679.0,700.92535
706.91,709.10046
682.0,693.4013
690.0,634.26764
701.4,705.7746
643.89,507.1172
606.1,640.7513
543.0,550.69116
641.39,664.3194
760.9,728.1752
562.0,571.12006
518.6,552.6639
564.32,582.49896
673.0,667.45337
669.6,643.316
553.08,583.62646
464.1,469.38647
603.7,644.0662
559.6,609.9516
709.51,673.5053
569.4,610.6542
648.0,665.53986
1037.0,1161.1771
597.0,616.7179
270.0,259.91098
884.0,972.6603
621.0,656.31696
535.963,586.3556
